timestamp,cat_x,cat_y,cat_z,laser_x,laser_y,laser_z,engagement_indicator,time_since_engagement,distance_to_boundary_x,distance_to_boundary_z
0.2387085,0.5363021,-0.7775061,1.258613,0.431,-0.821,1.555,0,483.4203,0.01899999,0.8049999
0.4022217,0.5368413,-0.7773344,1.258895,0.431,-0.821,1.555,0,483.5203,0.01899999,0.8049999
0.5283203,0.5365603,-0.7773073,1.259193,0.431,-0.821,1.555,0,483.6203,0.01899999,0.8049999
0.7185059,0.5317962,-0.7756741,1.262518,0.431,-0.821,1.555,0,483.7203,0.01899999,0.8049999
0.8369141,0.5205356,-0.7751613,1.261202,0.431,-0.821,1.555,0,483.8203,0.01899999,0.8049999
1.016785,0.5156174,-0.7766603,1.256594,0.434,-0.821,1.546,0,483.9203,0.016,0.8139999
1.191101,0.5154006,-0.7772799,1.256872,0.468,-0.821,1.323,0,484.0203,0.01800001,0.9929999
1.362549,0.5153111,-0.7772323,1.257095,0.385,-0.821,1.254,0,484.1203,0.065,0.9239999
1.559082,0.515911,-0.7768462,1.25725,0.237,-0.821,1.356,0,484.2203,0.213,1.004
1.689392,0.5107169,-0.7771754,1.252659,0.172,-0.821,1.452,0,484.3203,0.278,0.9079999
1.815918,0.5092422,-0.7750027,1.246704,0.139,-0.821,1.507,0,484.4203,0.311,0.8529999
1.925964,0.5084764,-0.7718583,1.244115,0.139,-0.821,1.507,0,484.5204,0.311,0.8529999
2.057007,0.478684,-0.7728653,1.235207,0.133,-0.821,1.524,0,484.6204,0.317,0.8359998
2.18158,0.4730646,-0.7758334,1.233115,0.124,-0.821,1.563,0,484.7204,0.326,0.7969999
2.296753,0.4784788,-0.7753997,1.236555,0.122,-0.821,1.592,0,484.8204,0.328,0.7679999
2.400757,0.4397099,-0.7391977,1.245653,0.122,-0.821,1.592,0,484.9204,0.328,0.7679999
2.507935,0.3527975,-0.7391925,1.239915,0.122,-0.821,1.592,0,485.0204,0.328,0.7679999
2.639771,0.3189357,-0.7584423,1.257933,0.123,-0.821,1.601,0,485.1204,0.327,0.7589999
2.742554,0.316692,-0.7607905,1.264939,0.121,-0.821,1.615,0,485.2204,0.329,0.7449999
2.882446,0.3157627,-0.7577561,1.265001,0.118,-0.821,1.668,0,485.3204,0.332,0.6919999
2.999939,0.31526,-0.758221,1.265094,0.117,-0.821,1.678,0,485.4204,0.333,0.6819999
3.154846,0.3229207,-0.7582933,1.257578,0.121,-0.821,1.684,0,485.5204,0.329,0.6759999
3.280151,0.3316434,-0.7585958,1.267425,0.13,-0.821,1.686,0,485.6204,0.32,0.6739999
3.38446,0.3439738,-0.7627373,1.271117,0.143,-0.821,1.688,0,485.7204,0.307,0.6719999
3.554749,0.3450341,-0.7605707,1.267258,0.267,-0.821,1.703,0,485.8204,0.183,0.6569999
3.65686,0.3445757,-0.7608098,1.268705,0.27,-0.821,1.703,0,485.9204,0.18,0.6569999
3.765015,0.3464127,-0.7597774,1.268849,0.27,-0.821,1.703,0,486.0204,0.18,0.6569999
3.875,0.3459024,-0.7600142,1.280653,0.27,-0.821,1.703,0,486.1205,0.18,0.6569999
4.023132,0.3482666,-0.7621241,1.279275,0.283,-0.821,1.703,0,486.2205,0.167,0.6569999
4.166504,0.3525881,-0.7607947,1.27223,0.376,-0.821,1.702,0,486.3205,0.074,0.6579999
4.285095,0.3538103,-0.7608795,1.271924,0.376,-0.821,1.702,0,486.4205,0.074,0.6579999
4.385986,0.3538737,-0.7608178,1.272042,0.376,-0.821,1.702,0,486.5205,0.074,0.6579999
4.496643,0.3541969,-0.7609622,1.271617,0.376,-0.821,1.702,0,486.6205,0.074,0.6579999
4.630737,0.3548861,-0.7614505,1.27158,0.37,-0.821,1.706,0,486.7205,0.07999998,0.6539999
4.775452,0.3556409,-0.7626812,1.275624,0.168,-0.821,1.711,0,486.8205,0.282,0.6489999
4.889954,0.3561421,-0.762855,1.275481,0.154,-0.821,1.713,0,486.9205,0.296,0.6469998
4.9953,0.3562467,-0.7636988,1.276711,0.154,-0.821,1.713,0,487.0205,0.296,0.6469998
5.128052,0.356407,-0.7638118,1.276508,0.154,-0.821,1.713,0,487.1205,0.296,0.6469998
5.252747,0.3564851,-0.7639027,1.276373,0.154,-0.821,1.713,0,487.2205,0.296,0.6469998
5.354858,0.3563913,-0.7638028,1.276411,0.155,-0.821,1.711,0,487.3205,0.295,0.6489999
5.468628,0.356259,-0.7637076,1.276678,0.155,-0.821,1.711,0,487.4205,0.295,0.6489999
5.569092,0.3571578,-0.7640948,1.278746,0.155,-0.821,1.711,0,487.5205,0.295,0.6489999
5.703003,0.3470784,-0.7732036,1.290904,0.039,-0.821,1.708,0,487.6205,0.411,0.652
5.80957,0.3420676,-0.773626,1.288933,0.039,-0.821,1.708,0,487.7206,0.411,0.652
5.924316,0.3424273,-0.7733127,1.28803,0.039,-0.821,1.706,0,487.8206,0.411,0.6539999
6.025024,0.3427266,-0.7733272,1.288203,0.039,-0.821,1.704,0,487.9206,0.411,0.6559999
6.138733,0.3419271,-0.7738912,1.289394,0.039,-0.821,1.704,0,488.0206,0.411,0.6559999
6.269348,0.3408511,-0.7746085,1.291158,0.041,-0.821,1.703,0,488.1206,0.409,0.6569999
6.467163,0.3403039,-0.7744374,1.291215,0.04,-0.821,1.59,0,488.2206,0.41,0.7699999
6.575378,0.3364784,-0.7752817,1.294421,0.039,-0.821,1.583,0,488.3206,0.411,0.777
6.685425,0.337377,-0.7727717,1.286147,0.039,-0.821,1.583,0,488.4206,0.411,0.777
6.793213,0.3356205,-0.7725973,1.284395,0.039,-0.821,1.583,0,488.5206,0.411,0.777
6.918945,0.3324058,-0.7709486,1.283141,0.039,-0.821,1.579,0,488.6206,0.411,0.7809999
7.050293,0.3332852,-0.7706145,1.281788,0.038,-0.821,1.567,0,488.7206,0.412,0.7929999
7.224976,0.3339303,-0.7709776,1.28266,0,-0.821,1.493,0,488.8206,0.45,0.8669999
7.329895,0.3336055,-0.7709911,1.282348,-0.001,-0.821,1.488,0,488.9206,0.451,0.8719999
7.43927,0.3338143,-0.7710978,1.282392,-0.001,-0.821,1.488,0,489.0206,0.451,0.8719999
7.546997,0.3337531,-0.7711554,1.282277,-0.001,-0.821,1.488,0,489.1206,0.451,0.8719999
7.658936,0.3339388,-0.7711502,1.282437,-0.001,-0.821,1.488,0,489.2206,0.451,0.8719999
7.778748,0.3339753,-0.7710901,1.282198,-0.001,-0.821,1.488,0,489.3206,0.451,0.8719999
7.916809,0.3340932,-0.7712786,1.282237,-0.029,-0.821,1.583,0,489.4207,0.479,0.777
8.024231,0.3341003,-0.7714046,1.282386,-0.033,-0.821,1.594,0,489.5207,0.483,0.7659999
8.129822,0.333847,-0.7715186,1.282245,-0.036,-0.821,1.605,0,489.6207,0.486,0.7549999
8.233948,0.3338206,-0.7715699,1.282261,-0.036,-0.821,1.605,0,489.7207,0.486,0.7549999
8.340881,0.3337542,-0.771507,1.282179,-0.036,-0.821,1.607,0,489.8207,0.486,0.7529999
8.465149,0.3339054,-0.771597,1.28241,-0.032,-0.821,1.624,0,489.9207,0.482,0.7359999
8.63739,0.3339686,-0.771772,1.282381,0.021,-0.821,1.696,0,490.0207,0.429,0.6639999
8.748962,0.3325076,-0.7709136,1.282586,0.027,-0.821,1.704,0,490.1207,0.423,0.6559999
8.850098,0.3290131,-0.7727383,1.282282,0.026,-0.821,1.706,0,490.2207,0.424,0.6539999
8.952393,0.3245097,-0.7741033,1.281428,0.031,-0.821,1.712,0,490.3207,0.419,0.6479999
9.071228,0.3276496,-0.7735398,1.275734,0.035,-0.821,1.721,0,490.4207,0.415,0.6389999
9.180054,0.3289798,-0.7745805,1.27197,0.035,-0.821,1.721,0,490.5207,0.415,0.6389999
9.436462,0.3271776,-0.7774287,1.271531,0.104,-0.821,1.773,0,490.6207,0.346,0.5869999
9.54834,0.3278945,-0.7777969,1.271394,0.104,-0.821,1.773,0,490.7207,0.346,0.5869999
9.663208,0.3328539,-0.7779049,1.261591,0.104,-0.821,1.775,0,490.8207,0.346,0.5849999
9.779846,0.334211,-0.7782348,1.251688,0.104,-0.821,1.775,0,490.9207,0.346,0.5849999
9.891357,0.3362306,-0.778833,1.248523,0.104,-0.821,1.775,0,491.0208,0.346,0.5849999
9.996582,0.3378585,-0.7789026,1.248249,0.104,-0.821,1.775,0,491.1208,0.346,0.5849999
10.29907,0.3390857,-0.7780899,1.247556,-0.051,-0.821,1.704,0,491.2208,0.501,0.6559999
10.40051,0.3395196,-0.7784658,1.247954,-0.06,-0.821,1.698,0,491.3208,0.51,0.6619999
10.51208,0.3395878,-0.7787396,1.246567,-0.06,-0.821,1.698,0,491.4208,0.51,0.6619999
10.61414,0.3424676,-0.7776378,1.237988,-0.06,-0.821,1.698,0,491.5208,0.51,0.6619999
10.73376,0.3433196,-0.7772311,1.235031,-0.06,-0.821,1.692,0,491.6208,0.51,0.6679999
11.02496,0.3449681,-0.7773385,1.236756,-0.075,-0.821,1.336,0,491.7208,0.525,1.006
11.14044,0.3452958,-0.777185,1.23749,-0.075,-0.821,1.321,0,491.8208,0.525,0.9909999
11.25391,0.3447239,-0.7753819,1.238395,-0.075,-0.821,1.321,0,491.9208,0.525,0.9909999
11.36682,0.3279209,-0.7727982,1.233341,-0.073,-0.821,1.318,0,492.0208,0.523,0.9879999
11.47321,0.3262556,-0.771722,1.229465,-0.07,-0.821,1.315,0,492.1208,0.52,0.985
11.58112,0.3200649,-0.757805,1.223216,-0.07,-0.821,1.315,0,492.2208,0.52,0.985
11.68677,0.3267698,-0.7505543,1.161952,-0.07,-0.821,1.315,0,492.3208,0.52,0.985
11.81989,0.3372805,-0.7657335,1.142444,-0.07,-0.821,1.315,0,492.4208,0.52,0.985
11.94373,0.337829,-0.7663739,1.149156,-0.07,-0.821,1.315,0,492.5208,0.52,0.985
12.05786,0.3368661,-0.7658676,1.15488,-0.07,-0.821,1.315,0,492.6208,0.52,0.985
12.25293,0.3368407,-0.7662143,1.15824,-0.091,-0.821,1.158,0,492.7209,0.541,0.8279999
12.35785,0.336787,-0.7662769,1.158817,-0.089,-0.821,1.151,0,492.8209,0.539,0.821
12.46771,0.3357258,-0.7557215,1.152641,-0.089,-0.821,1.151,0,492.9209,0.539,0.821
12.56879,0.3194713,-0.7111172,1.083581,-0.089,-0.821,1.151,0,493.0209,0.539,0.821
12.68054,0.280378,-0.6951624,0.9892128,-0.1,-0.821,1.168,0,493.1209,0.55,0.8379999
12.78229,0.237157,-0.7150678,0.9347258,-0.118,-0.821,1.196,0,493.2209,0.568,0.8659999
13.0011,0.1808949,-0.7184758,0.8751548,-0.168,-0.821,1.325,0,493.3209,0.618,0.995
13.11993,0.1416677,-0.7363573,0.8798602,-0.173,-0.821,1.34,0,493.4209,0.623,1.01
13.23212,0.1297591,-0.7408994,0.8696216,-0.175,-0.821,1.343,0,493.5209,0.625,1.013
13.33881,0.08646499,-0.7449707,0.9253482,-0.175,-0.821,1.343,0,493.6209,0.625,1.013
13.44147,0.01999858,-0.7492914,0.9767874,-0.19,-0.821,1.348,0,493.7209,0.64,1.012
13.54993,0.01100725,-0.7586427,0.9835225,-0.206,-0.821,1.377,0,493.8209,0.656,0.9829999
13.66418,0.01406929,-0.7621267,0.9791088,-0.206,-0.821,1.442,0,493.9209,0.656,0.9179999
13.77002,0.01425712,-0.7609633,0.9788819,-0.188,-0.821,1.488,0,494.0209,0.638,0.8719999
14.06891,-0.05778283,-0.7502197,1.082592,-0.11,-0.821,1.594,0,494.1209,0.56,0.7659999
14.3952,-0.05278261,-0.7510679,1.089877,-0.031,-0.821,1.662,0,494.2209,0.481,0.698
14.60638,-0.04750179,-0.7492715,1.073212,0.069,-0.821,1.701,0,494.321,0.381,0.6589999
14.74841,-0.02206373,-0.7553856,1.120122,0.077,-0.821,1.707,0,494.421,0.373,0.6529999
14.86115,-0.01786298,-0.76069,1.149824,0.085,-0.821,1.711,0,494.521,0.365,0.6489999
14.98419,0.07110216,-0.7526821,1.153369,0.088,-0.821,1.713,0,494.621,0.362,0.6469998
15.15106,0.2079265,-0.7401029,1.153291,0.098,-0.821,1.715,0,494.721,0.352,0.6449999
15.26385,0.2430324,-0.7516669,1.14807,0.123,-0.821,1.725,0,494.821,0.327,0.6349999
15.39429,0.2461122,-0.7553959,1.142694,0.164,-0.821,1.735,0,494.921,0.286,0.6249999
15.52679,0.2430265,-0.7564945,1.141486,0.204,-0.821,1.741,0,495.021,0.246,0.6189998
15.63647,0.2434508,-0.7499774,1.150379,0.231,-0.821,1.742,0,495.121,0.219,0.6179999
15.74103,0.2541647,-0.7317739,1.183629,0.261,-0.821,1.741,0,495.221,0.189,0.6189998
15.87415,0.2501028,-0.7384764,1.189754,0.284,-0.821,1.74,0,495.321,0.166,0.6199999
16.00476,0.2485505,-0.7512027,1.186789,0.312,-0.821,1.739,0,495.421,0.138,0.6209999
16.11932,0.2439338,-0.7614741,1.183551,0.327,-0.821,1.737,0,495.521,0.123,0.6229999
16.22864,0.2491808,-0.7658946,1.173053,0.327,-0.821,1.737,0,495.621,0.123,0.6229999
16.34125,0.2522579,-0.7685987,1.170107,0.327,-0.821,1.737,0,495.721,0.123,0.6229999
16.61609,0.2491751,-0.769896,1.169641,0.158,-0.821,1.744,0,495.821,0.292,0.6159999
16.76965,0.2488912,-0.7707065,1.1692,0.071,-0.821,1.762,0,495.9211,0.379,0.5979999
16.88568,0.246201,-0.7707886,1.171351,0.048,-0.821,1.76,0,496.0211,0.402,0.5999999
17.0036,0.2565201,-0.7608846,1.194493,0.046,-0.821,1.76,0,496.1211,0.404,0.5999999
17.10657,0.2643497,-0.76144,1.227906,0.043,-0.821,1.76,0,496.2211,0.407,0.5999999
17.20764,0.212142,-0.7449019,1.266399,0.043,-0.821,1.76,0,496.3211,0.407,0.5999999
17.31274,0.146936,-0.7624405,1.270322,0.043,-0.821,1.76,0,496.4211,0.407,0.5999999
17.42102,0.1294145,-0.765417,1.268031,0.043,-0.821,1.76,0,496.5211,0.407,0.5999999
17.52478,0.1357682,-0.7666111,1.268962,0.043,-0.821,1.76,0,496.6211,0.407,0.5999999
17.71881,0.1385729,-0.766928,1.269167,-0.044,-0.821,1.738,0,496.7211,0.494,0.6219999
17.83112,0.1395331,-0.7677945,1.268656,-0.054,-0.821,1.734,0,496.8211,0.504,0.6259999
17.93414,0.1370879,-0.7678504,1.267897,-0.054,-0.821,1.734,0,496.9211,0.504,0.6259999
18.06146,0.1330823,-0.7691154,1.265861,-0.056,-0.821,1.733,0,497.0211,0.506,0.6269999
18.23456,0.1305705,-0.7697107,1.265579,-0.117,-0.821,1.722,0,497.1211,0.567,0.6379999
18.3421,0.1245345,-0.7705221,1.263074,-0.117,-0.821,1.722,0,497.2211,0.567,0.6379999
18.49811,0.1230399,-0.7705179,1.262505,-0.123,-0.821,1.689,0,497.3211,0.573,0.6709999
18.67609,0.1236284,-0.7708929,1.26191,-0.145,-0.821,1.549,0,497.4211,0.595,0.8109999
18.8205,0.1233867,-0.7712089,1.261739,-0.168,-0.821,1.456,0,497.5211,0.618,0.9039999
18.93292,0.1237907,-0.7710668,1.26175,-0.174,-0.821,1.416,0,497.6212,0.624,0.9439999
19.04132,0.1243841,-0.7714073,1.261181,-0.18,-0.821,1.386,0,497.7212,0.63,0.9739999
19.16119,0.1302693,-0.7706342,1.261526,-0.18,-0.821,1.383,0,497.8212,0.63,0.9769999
19.26666,0.1309144,-0.7708021,1.261838,-0.181,-0.821,1.372,0,497.9212,0.631,0.9879999
19.39471,0.1317148,-0.7713654,1.261493,-0.181,-0.821,1.372,0,498.0212,0.631,0.9879999
19.73315,0.1329638,-0.7722045,1.261605,-0.204,-0.821,1.636,0,498.1212,0.654,0.7239999
19.83325,0.1334806,-0.772239,1.261541,-0.204,-0.821,1.638,0,498.2212,0.654,0.7219999
19.94366,0.1335441,-0.7726213,1.261577,-0.204,-0.821,1.638,0,498.3212,0.654,0.7219999
20.04443,0.1338558,-0.7727439,1.261611,-0.204,-0.821,1.638,0,498.4212,0.654,0.7219999
20.16467,0.1343543,-0.7730937,1.261261,-0.204,-0.821,1.638,0,498.5212,0.654,0.7219999
20.51465,0.1272047,-0.7744406,1.259245,-0.245,-0.821,1.457,0,498.6212,0.695,0.9029999
20.63055,0.12148,-0.7745604,1.258851,-0.249,-0.821,1.42,0,498.7212,0.699,0.9399999
20.73267,0.1210822,-0.7744783,1.258841,-0.255,-0.821,1.395,0,498.8212,0.705,0.9649999
20.90253,0.1204744,-0.7738611,1.258809,-0.274,-0.821,1.316,0,498.9212,0.724,0.9859999
21.01843,0.1208052,-0.774167,1.258819,-0.288,-0.821,1.249,0,499.0212,0.738,0.9189999
21.12677,0.1203668,-0.7741606,1.258482,-0.291,-0.821,1.223,0,499.1212,0.741,0.893
21.23932,0.1208538,-0.7740722,1.258701,-0.291,-0.821,1.223,0,499.2213,0.741,0.893
21.66162,0.1210443,-0.7748696,1.257733,-0.251,-0.821,1.61,0,499.3213,0.701,0.7499999
21.77026,0.1215833,-0.7751232,1.257835,-0.251,-0.821,1.622,0,499.4213,0.701,0.7379999
21.87085,0.1218582,-0.774996,1.257871,-0.25,-0.821,1.629,0,499.5213,0.7,0.7309999
22.30194,0.12211,-0.7750027,1.257302,0.065,-0.821,1.755,0,499.6213,0.385,0.6049999
22.52881,0.1223981,-0.7752854,1.257547,0.144,-0.821,1.747,0,499.7213,0.306,0.6129999
22.75958,0.1220584,-0.774992,1.257462,0.219,-0.821,1.722,0,499.8213,0.231,0.6379999
22.86163,0.1214462,-0.7739839,1.257268,0.223,-0.821,1.718,0,499.9213,0.227,0.6419998
22.9715,0.1627417,-0.7556464,1.265065,0.223,-0.821,1.718,0,500.0213,0.227,0.6419998
23.07477,0.2315799,-0.7684174,1.249708,0.223,-0.821,1.718,0,500.1213,0.227,0.6419998
23.18646,0.2657999,-0.7664164,1.231138,0.223,-0.821,1.718,0,500.2213,0.227,0.6419998
23.30316,0.2779053,-0.7772899,1.219247,0.206,-0.821,1.703,0,500.3213,0.244,0.6569999
23.63647,0.2749364,-0.7774434,1.218787,-0.09,-0.821,1.705,0,500.4213,0.54,0.6549999
23.76208,0.2748546,-0.7776334,1.218588,-0.133,-0.821,1.696,0,500.5213,0.583,0.6639999
23.8877,0.2745385,-0.7777235,1.21885,-0.16,-0.821,1.688,0,500.6213,0.61,0.6719999
24.00604,0.2723073,-0.7763427,1.223162,-0.165,-0.821,1.688,0,500.7213,0.615,0.6719999
24.10822,0.271701,-0.7771487,1.223506,-0.171,-0.821,1.686,0,500.8214,0.621,0.6739999
24.21716,0.2719356,-0.7776639,1.222356,-0.171,-0.821,1.686,0,500.9214,0.621,0.6739999
24.32239,0.2720416,-0.7781213,1.221445,-0.171,-0.821,1.686,0,501.0214,0.621,0.6739999
