timestamp,cat_x,cat_y,cat_z,laser_x,laser_y,laser_z,engagement_indicator,time_since_engagement,distance_to_boundary_x,distance_to_boundary_z
0.0,0.5,0.0,0.3,0.8,0.0,0.5,1,0,1.2,1.5
0.1,0.52,0.0,0.32,0.75,0.0,0.48,1,0,1.25,1.52
0.2,0.55,0.0,0.35,0.72,0.0,0.45,1,0,1.28,1.55
0.3,0.58,0.0,0.38,0.68,0.0,0.42,1,0,1.32,1.58
0.4,0.62,0.0,0.42,0.65,0.0,0.4,1,0,1.35,1.6
0.5,0.65,0.0,0.45,0.62,0.0,0.38,1,0,1.38,1.62
0.6,0.68,0.0,0.48,0.6,0.0,0.35,1,0,1.4,1.65
0.7,0.7,0.0,0.5,0.58,0.0,0.32,1,0,1.42,1.68
0.8,0.72,0.0,0.52,0.55,0.0,0.3,1,0,1.45,1.7
0.9,0.73,0.0,0.53,0.52,0.0,0.28,1,0,1.48,1.72
1.0,0.74,0.0,0.54,0.5,0.0,0.25,1,0,1.5,1.75
1.1,0.75,0.0,0.55,0.48,0.0,0.22,1,0,1.52,1.78
1.2,0.75,0.0,0.55,0.45,0.0,0.2,1,0,1.55,1.8
1.3,0.74,0.0,0.54,0.48,0.0,0.22,1,0,1.52,1.78
1.4,0.73,0.0,0.53,0.52,0.0,0.25,1,0,1.48,1.75
1.5,0.7,0.0,0.5,0.55,0.0,0.28,1,0,1.45,1.72
1.6,0.68,0.0,0.48,0.58,0.0,0.32,1,0,1.42,1.68
1.7,0.65,0.0,0.45,0.62,0.0,0.35,1,0,1.38,1.65
1.8,0.62,0.0,0.42,0.65,0.0,0.38,1,0,1.35,1.62
1.9,0.6,0.0,0.4,0.68,0.0,0.42,1,0,1.32,1.58
2.0,0.58,0.0,0.38,0.72,0.0,0.45,1,0,1.28,1.55
2.1,0.55,0.0,0.35,0.75,0.0,0.48,1,0,1.25,1.52
2.2,0.52,0.0,0.32,0.78,0.0,0.5,1,0,1.22,1.5
2.3,0.5,0.0,0.3,0.8,0.0,0.52,1,0,1.2,1.48
2.4,0.48,0.0,0.28,0.82,0.0,0.55,1,0,1.18,1.45
2.5,0.45,0.0,0.25,0.85,0.0,0.58,1,0,1.15,1.42
2.6,0.42,0.0,0.22,0.88,0.0,0.6,1,0,1.12,1.4
2.7,0.4,0.0,0.2,0.9,0.0,0.62,1,0,1.1,1.38
2.8,0.38,0.0,0.18,0.92,0.0,0.65,1,0,1.08,1.35
2.9,0.35,0.0,0.15,0.95,0.0,0.68,1,0,1.05,1.32
3.0,0.32,0.0,0.12,0.98,0.0,0.7,1,0,1.02,1.3
3.1,0.3,0.0,0.1,1.0,0.0,0.72,1,0,1.0,1.28
3.2,0.28,0.0,0.08,1.02,0.0,0.75,1,0,0.98,1.25
3.3,0.25,0.0,0.05,1.05,0.0,0.78,1,0,0.95,1.22
3.4,0.22,0.0,0.02,1.08,0.0,0.8,1,0,0.92,1.2
3.5,0.2,0.0,0.0,1.1,0.0,0.82,1,0,0.9,1.18
3.6,0.18,0.0,-0.02,1.12,0.0,0.85,1,0,0.88,1.15
3.7,0.15,0.0,-0.05,1.15,0.0,0.88,1,0,0.85,1.12
3.8,0.12,0.0,-0.08,1.18,0.0,0.9,1,0,0.82,1.1
3.9,0.1,0.0,-0.1,1.2,0.0,0.92,1,0,0.8,1.08
4.0,0.08,0.0,-0.12,1.22,0.0,0.95,1,0,0.78,1.05
4.1,0.05,0.0,-0.15,1.25,0.0,0.98,1,0,0.75,1.02
4.2,0.02,0.0,-0.18,1.28,0.0,1.0,1,0,0.72,1.0
4.3,0.0,0.0,-0.2,1.3,0.0,1.02,0,1,0.7,0.98
4.4,-0.02,0.0,-0.22,1.32,0.0,1.05,0,2,0.68,0.95
4.5,-0.05,0.0,-0.25,1.35,0.0,1.08,0,3,0.65,0.92
4.6,-0.08,0.0,-0.28,1.38,0.0,1.1,0,4,0.62,0.9
4.7,-0.1,0.0,-0.3,1.4,0.0,1.12,0,5,0.6,0.88
4.8,-0.12,0.0,-0.32,1.42,0.0,1.15,0,6,0.58,0.85
4.9,-0.15,0.0,-0.35,1.45,0.0,1.18,0,7,0.55,0.82
5.0,-0.18,0.0,-0.38,1.48,0.0,1.2,0,8,0.52,0.8
5.1,-0.2,0.0,-0.4,1.5,0.0,1.22,0,9,0.5,0.78
5.2,-0.22,0.0,-0.42,1.52,0.0,1.25,0,10,0.48,0.75
5.3,-0.25,0.0,-0.45,1.55,0.0,1.28,0,11,0.45,0.72
5.4,-0.28,0.0,-0.48,1.52,0.0,1.25,0,12,0.48,0.75
5.5,-0.25,0.0,-0.45,1.48,0.0,1.22,0,13,0.52,0.78
5.6,-0.22,0.0,-0.42,1.45,0.0,1.18,0,14,0.55,0.82
5.7,-0.2,0.0,-0.4,1.42,0.0,1.15,0,15,0.58,0.85
5.8,-0.18,0.0,-0.38,1.38,0.0,1.12,0,16,0.62,0.88
5.9,-0.15,0.0,-0.35,1.35,0.0,1.08,0,17,0.65,0.92
6.0,-0.12,0.0,-0.32,1.32,0.0,1.05,0,18,0.68,0.95
6.1,-0.1,0.0,-0.3,1.28,0.0,1.02,0,19,0.72,0.98
6.2,-0.08,0.0,-0.28,1.25,0.0,0.98,0,20,0.75,1.02
6.3,-0.05,0.0,-0.25,1.22,0.0,0.95,0,21,0.78,1.05
6.4,-0.02,0.0,-0.22,1.18,0.0,0.92,0,22,0.82,1.08
6.5,0.0,0.0,-0.2,1.15,0.0,0.88,1,0,0.85,1.12
6.6,0.02,0.0,-0.18,1.12,0.0,0.85,1,0,0.88,1.15
